epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9925,1.96818,1.75313,1.49215,0.50502,0.5843,0.49173,0.23319,0.71157,380.555,0.46548,0.000658333,0.000658333,0.000658333
2,29.0203,1.77813,1.11203,1.34275,0.53567,0.66896,0.61555,0.27095,0.73835,285.289,0.47696,0.00125433,0.00125433,0.00125433
3,40.8242,1.73669,1.04863,1.32968,0.63395,0.57564,0.58497,0.26809,0.7797,304.204,0.49845,0.00177922,0.00177922,0.00177922
4,52.4519,1.73398,1.01876,1.32043,0.66007,0.6447,0.68798,0.33814,0.67971,335.716,0.45409,0.00168,0.00168,0.00168
5,64.1504,1.68017,0.98009,1.32183,0.64862,0.75976,0.62808,0.28162,0.71096,210.009,0.46444,0.00157333,0.00157333,0.00157333
6,75.8375,1.66472,0.9506,1.30842,0.58977,0.76966,0.58479,0.30332,0.66038,274.328,0.44809,0.00146667,0.00146667,0.00146667
7,87.5051,1.62589,0.89928,1.28332,0.61072,0.72102,0.63851,0.30173,0.70045,228.545,0.46148,0.00136,0.00136,0.00136
8,99.2146,1.59911,0.86437,1.25277,0.60853,0.77308,0.61409,0.27307,0.71693,255.423,0.45767,0.00125333,0.00125333,0.00125333
9,110.904,1.58038,0.85177,1.25478,0.69955,0.79077,0.78945,0.39373,0.65308,256.847,0.44704,0.00114667,0.00114667,0.00114667
10,122.632,1.53826,0.81163,1.23161,0.6654,0.77943,0.70287,0.38201,0.62688,210.086,0.43842,0.00104,0.00104,0.00104
11,134.318,1.52559,0.79774,1.21917,0.71293,0.76031,0.78376,0.40882,0.65635,278.618,0.44394,0.000933333,0.000933333,0.000933333
12,146.022,1.50706,0.76574,1.21653,0.64452,0.77112,0.76765,0.39409,0.67975,201.716,0.45512,0.000826667,0.000826667,0.000826667
13,157.74,1.49574,0.75062,1.2125,0.64957,0.79764,0.71084,0.38702,0.63713,269.25,0.4381,0.00072,0.00072,0.00072
14,169.428,1.47269,0.73058,1.20443,0.64968,0.84712,0.68868,0.38232,0.62931,227.54,0.43414,0.000613333,0.000613333,0.000613333
15,181.098,1.45715,0.72506,1.21162,0.69628,0.84479,0.70473,0.35703,0.65617,248.058,0.44332,0.000506667,0.000506667,0.000506667
