epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1578,1.99506,1.82288,1.56804,0.57832,0.6778,0.65163,0.27126,0.7631,492.093,0.50001,0.000658333,0.000658333,0.000658333
2,29.1792,1.77306,1.20493,1.42194,0.53805,0.54813,0.49659,0.15387,0.96162,261.348,0.59432,0.00125433,0.00125433,0.00125433
3,40.9199,1.76,1.21694,1.39254,0.60446,0.61097,0.57281,0.24971,0.78913,277.195,0.50584,0.00177922,0.00177922,0.00177922
4,52.5624,1.73677,1.09149,1.38016,0.52615,0.66994,0.46117,0.18524,0.82561,374.558,0.52447,0.00168,0.00168,0.00168
5,64.2279,1.70838,1.03803,1.37203,0.61806,0.7279,0.64563,0.26219,0.83024,256.59,0.51627,0.00157333,0.00157333,0.00157333
6,75.8949,1.6485,0.99451,1.33513,0.55452,0.77505,0.58076,0.22763,0.86514,283.969,0.53729,0.00146667,0.00146667,0.00146667
7,87.5515,1.65172,0.94455,1.34924,0.62202,0.77701,0.72826,0.31553,0.81022,182.016,0.50575,0.00136,0.00136,0.00136
8,99.2146,1.63175,0.9182,1.31448,0.62492,0.72102,0.58906,0.28824,0.70158,177.642,0.4657,0.00125333,0.00125333,0.00125333
9,110.878,1.59547,0.88759,1.31745,0.64959,0.78304,0.61605,0.30248,0.7095,188.378,0.47046,0.00114667,0.00114667,0.00114667
10,122.539,1.54704,0.84504,1.28692,0.61851,0.82339,0.62133,0.28206,0.75826,195.579,0.48374,0.00104,0.00104,0.00104
11,134.229,1.56043,0.85111,1.27886,0.63963,0.80747,0.72928,0.31282,0.80503,223.378,0.50215,0.000933333,0.000933333,0.000933333
12,145.936,1.53932,0.82993,1.26434,0.61503,0.83006,0.64871,0.29635,0.73766,226.079,0.47917,0.000826667,0.000826667,0.000826667
13,157.636,1.53098,0.7938,1.27197,0.63256,0.80059,0.60641,0.25513,0.79439,273.226,0.49523,0.00072,0.00072,0.00072
14,169.339,1.50132,0.77221,1.24828,0.64094,0.79431,0.74601,0.34677,0.76352,201.159,0.48614,0.000613333,0.000613333,0.000613333
15,181.023,1.48271,0.75808,1.25495,0.64602,0.82107,0.63553,0.32453,0.66602,259.312,0.44903,0.000506667,0.000506667,0.000506667
