epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0577,1.95675,1.78947,1.53201,0.70462,0.68271,0.7175,0.31801,0.73613,774.727,0.49301,0.000658333,0.000658333,0.000658333
2,29.0423,1.76216,1.14957,1.39555,0.4332,0.71218,0.40186,0.17198,0.79865,542.284,0.50125,0.00125433,0.00125433,0.00125433
3,40.7334,1.71764,1.08162,1.36562,0.57494,0.49509,0.48721,0.20457,0.81498,62.5641,0.518,0.00177922,0.00177922,0.00177922
4,52.3797,1.71547,1.0425,1.35754,0.54891,0.61886,0.4911,0.21653,0.79797,301.341,0.50797,0.00168,0.00168,0.00168
5,64.0124,1.66704,0.9811,1.34123,0.54609,0.76109,0.58501,0.25469,0.79343,287.712,0.50223,0.00157333,0.00157333,0.00157333
6,75.6596,1.62518,0.94895,1.30459,0.68446,0.65619,0.73341,0.31434,0.80163,295.596,0.51054,0.00146667,0.00146667,0.00146667
7,87.2971,1.63311,0.91932,1.32249,0.63773,0.80157,0.6267,0.28735,0.76042,208.829,0.48526,0.00136,0.00136,0.00136
8,98.9478,1.60339,0.87323,1.28366,0.6431,0.80183,0.6181,0.31059,0.65808,246.455,0.44758,0.00125333,0.00125333,0.00125333
9,110.587,1.58167,0.8576,1.29454,0.62312,0.778,0.62382,0.32648,0.67351,217.718,0.4583,0.00114667,0.00114667,0.00114667
10,122.223,1.53648,0.81765,1.27156,0.62897,0.77765,0.58421,0.27759,0.72975,243.691,0.47997,0.00104,0.00104,0.00104
11,134.56,1.50982,0.75968,1.27516,0.64883,0.82417,0.6233,0.31589,0.67114,263.719,0.45226,0.000933333,0.000933333,0.000933333
12,146.189,1.52272,0.76542,1.27007,0.65493,0.7644,0.65182,0.34425,0.64373,238.468,0.44361,0.000826667,0.000826667,0.000826667
13,157.793,1.48379,0.70227,1.24583,0.62767,0.83301,0.62085,0.26267,0.78916,229.202,0.49633,0.00072,0.00072,0.00072
14,169.356,1.45896,0.68843,1.24845,0.63895,0.82711,0.62013,0.30087,0.70928,241.235,0.46749,0.000613333,0.000613333,0.000613333
15,180.938,1.43822,0.66338,1.22285,0.62063,0.80028,0.58791,0.29394,0.7096,265.095,0.46612,0.000506667,0.000506667,0.000506667
