epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0531,2.01696,1.83441,1.60662,0.52194,0.51375,0.44181,0.17447,0.89268,229.827,0.57213,0.000658333,0.000658333,0.000658333
2,29.151,1.77861,1.21359,1.43642,0.44066,0.56582,0.43755,0.14524,0.99999,492.63,0.62031,0.00125433,0.00125433,0.00125433
3,40.9026,1.78419,1.15325,1.41811,0.56345,0.64342,0.5257,0.24583,0.73784,99.286,0.48468,0.00177922,0.00177922,0.00177922
4,52.6412,1.74215,1.11874,1.40078,0.54347,0.66798,0.51348,0.24111,0.74247,340.182,0.48309,0.00168,0.00168,0.00168
5,64.4183,1.73032,1.09984,1.38409,0.68721,0.74951,0.76739,0.36153,0.73683,421.532,0.48028,0.00157333,0.00157333,0.00157333
6,76.1431,1.6922,1.04111,1.36736,0.55018,0.66896,0.50663,0.24347,0.72513,151.96,0.47886,0.00146667,0.00146667,0.00146667
7,87.8511,1.6755,1.0095,1.36626,0.61754,0.70898,0.54255,0.21706,0.84812,188.953,0.5233,0.00136,0.00136,0.00136
8,99.5867,1.63497,0.98198,1.34556,0.60504,0.81238,0.61048,0.29517,0.7179,207.432,0.4746,0.00125333,0.00125333,0.00125333
9,111.271,1.63076,0.90586,1.32149,0.59983,0.72886,0.55528,0.25858,0.72668,208.464,0.47543,0.00114667,0.00114667,0.00114667
10,123.041,1.60832,0.90991,1.31287,0.64603,0.80139,0.60315,0.28117,0.74201,219.869,0.48003,0.00104,0.00104,0.00104
11,134.827,1.59717,0.87911,1.31478,0.56183,0.78487,0.56639,0.24016,0.80697,290.098,0.50347,0.000933333,0.000933333,0.000933333
12,146.589,1.57868,0.85423,1.301,0.65762,0.84185,0.63155,0.31245,0.68381,239.199,0.45608,0.000826667,0.000826667,0.000826667
13,158.384,1.58932,0.85943,1.30758,0.60422,0.81434,0.65389,0.31881,0.71021,245.72,0.46517,0.00072,0.00072,0.00072
14,170.122,1.53029,0.80648,1.2616,0.64597,0.80943,0.70878,0.35844,0.6718,213.982,0.44921,0.000613333,0.000613333,0.000613333
15,181.878,1.51717,0.79061,1.26552,0.6574,0.83988,0.73519,0.36466,0.70862,249.717,0.46681,0.000506667,0.000506667,0.000506667
